Domäne,Abteilung,Prozess,Fehler,Ursache,Wirkung,Bedeutung (B),Auftreten (A),Entdeckung (E),Bestehende Kontrolle,Verantwortlich,Datensensitivität,Prozesskritikalität,SLA-Auswirkung,RPN
Order-to-Cash,Vertrieb,Angebotserstellung,Falscher Listenpreis im Angebot,Preisregel im BI-Tool veraltet,Margenverlust und Reklamation,7,5,6,Monatliche Preislistenprüfung,Sales Operations,mittel,hoch,mittel,210
Order-to-Cash,Vertrieb,Auftragserfassung,Falsche Kundennummer,Manuelle Eingabe ohne Validierung,Fehlrouting und Verzögerung,6,6,5,Validierung gegen CRM,Innendienst,niedrig,mittel,hoch,180
Procure-to-Pay,Einkauf,Lieferantenauswahl,Lieferant nicht qualifiziert,Qualifikationsnachweis fehlt,Qualitätsmängel,8,4,6,Approved-Vendor-List,Strategischer Einkauf,niedrig,hoch,mittel,192
Procure-to-Pay,Einkauf,Bestellabwicklung,Verspätete Lieferung,Fehlende Lieferanten-ETA,Produktionsstillstand,9,5,4,SLA im Rahmenvertrag,Operativer Einkauf,niedrig,hoch,hoch,180
Plan-to-Produce,Produktion,Maschinenlauf,Ungeplanter Maschinenausfall,Wartungsintervall überschritten,Stillstand und Ausschuss,9,4,4,TPM und Sensorüberwachung,Instandhaltung,niedrig,hoch,hoch,144
Plan-to-Produce,Qualität,Wareneingang,Fehlklassifikation Gut/Schlecht,Grenzwerte falsch parametriert,Ausschussquote steigt,8,4,5,Vier-Augen-Prinzip,Qualitätssicherung,niedrig,mittel,mittel,160
Warehouse & Logistics,Logistik,Kommissionierung,Falsche Artikel gepickt,Ähnliche Artikelnummern,Fehllieferung,7,6,5,Barcode-Scan Pflicht,Lagerleitung,niedrig,mittel,hoch,210
Warehouse & Logistics,Logistik,Transportplanung,Falscher Spediteur gebucht,Fehlendes Routing-Profil,Kostensteigerung und Verzögerung,6,5,5,Standardrouten im TMS,Transportplanung,niedrig,mittel,mittel,150
Record-to-Report,Finanzen,Rechnungsprüfung,Doppelte Rechnung bezahlt,Duplikat nicht erkannt,Liquiditätsverlust,8,3,6,3-Way-Match,Buchhaltung,mittel,mittel,mittel,144
Record-to-Report,Finanzen,Abschluss,Falsche Periodenabgrenzung,Fehlende Rückstellung,Fehlende Aussagekraft der KPIs,7,4,5,Checkliste Monatsabschluss,Controlling,niedrig,mittel,niedrig,140
